epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.95793,1.42523,5.12876,1.69735,0.01142,1,0.03921,0.019,1.63633,6.49298,1.8739,0,0,0
2,15.049,1.44157,4.82254,1.68737,0.01241,1,0.10644,0.04,1.43637,6.27397,1.71292,1.089e-05,1.089e-05,1.089e-05
3,22.5825,1.35056,4.53799,1.66654,0.39609,0.6,0.5282,0.29388,1.20406,4.84968,1.48557,2.13401e-05,2.13401e-05,2.13401e-05
4,28.9798,1.54269,4.17828,1.68688,0.65483,0.8,0.60692,0.41552,0.94814,4.2251,1.19397,3.13502e-05,3.13502e-05,3.13502e-05
5,35.3569,1.24271,3.50213,1.55868,0.80402,1,0.895,0.77553,0.64813,3.12114,0.97619,4.09204e-05,4.09204e-05,4.09204e-05
6,41.755,0.93522,2.64891,1.37656,0.79449,1,0.995,0.89376,0.52811,4.23404,0.91301,5.00506e-05,5.00506e-05,5.00506e-05
7,48.2013,0.67136,2.58534,1.10341,0.70181,1,0.995,0.91185,0.47847,5.42929,0.89973,5.87408e-05,5.87408e-05,5.87408e-05
8,54.5786,0.85761,1.94655,1.2569,0.88809,1,0.995,0.90086,0.47683,5.48346,0.89738,6.69911e-05,6.69911e-05,6.69911e-05
9,60.8109,0.70153,1.59813,1.08334,0.9824,1,0.995,0.90102,0.46116,4.77736,0.90484,7.48014e-05,7.48014e-05,7.48014e-05
10,67.1701,0.66436,1.56085,1.08515,0.98981,1,0.995,0.9029,0.48578,3.86104,0.89129,8.21718e-05,8.21718e-05,8.21718e-05
11,73.4432,0.65254,1.58308,1.09597,0.99018,1,0.995,0.90632,0.50488,3.45993,0.88242,8.91022e-05,8.91022e-05,8.91022e-05
12,79.6227,0.53385,1.37181,1.02758,0.98888,1,0.995,0.8955,0.51938,3.27294,0.8743,9.55927e-05,9.55927e-05,9.55927e-05
13,85.7509,0.51016,1.35719,0.95854,0.98741,1,0.995,0.8955,0.51682,3.17394,0.86384,0.000101643,0.000101643,0.000101643
14,91.9507,0.66015,1.22603,1.06608,0.98672,1,0.995,0.8955,0.50366,3.02329,0.85219,0.000107254,0.000107254,0.000107254
15,98.0875,0.73813,1.22581,1.12685,0.98645,1,0.995,0.90065,0.49412,2.82026,0.84871,0.000112424,0.000112424,0.000112424
16,104.218,0.53404,1.12037,0.97465,0.98827,1,0.995,0.91168,0.47899,2.49438,0.86983,0.000117155,0.000117155,0.000117155
17,110.195,0.52049,1.03585,0.9907,0.98917,1,0.995,0.8839,0.47941,2.32672,0.89115,0.000121446,0.000121446,0.000121446
18,116.179,0.55874,1.05103,1.02601,0.98917,1,0.995,0.8839,0.47941,2.32672,0.89115,0.000125296,0.000125296,0.000125296
19,122.253,0.63134,1.06578,1.05043,0.98976,1,0.995,0.87845,0.47526,2.10033,0.85853,0.000128707,0.000128707,0.000128707
20,128.217,0.69196,1.24777,1.14093,0.98976,1,0.995,0.87845,0.47526,2.10033,0.85853,0.000131678,0.000131678,0.000131678
21,134.417,0.60263,1.08307,1.11611,0.99035,1,0.995,0.90057,0.473,1.84005,0.82891,0.000134209,0.000134209,0.000134209
22,140.501,0.61485,1.07267,0.95771,0.99035,1,0.995,0.90057,0.473,1.84005,0.82891,0.0001363,0.0001363,0.0001363
23,146.715,0.83222,1.21441,1.12433,0.991,1,0.995,0.90545,0.49277,1.70475,0.83168,0.000137951,0.000137951,0.000137951
24,152.71,0.63853,1.17948,1.12017,0.991,1,0.995,0.90545,0.49277,1.70475,0.83168,0.000139162,0.000139162,0.000139162
25,158.769,0.64815,0.99828,1.00981,0.99128,1,0.995,0.91521,0.50811,1.74284,0.8328,0.000139933,0.000139933,0.000139933
26,164.773,0.53601,0.95059,1.03331,0.99128,1,0.995,0.91521,0.50811,1.74284,0.8328,0.000140264,0.000140264,0.000140264
27,170.85,0.51052,0.96729,1.0009,0.99128,1,0.995,0.8955,0.51146,1.70844,0.84279,0.000140155,0.000140155,0.000140155
28,176.837,0.5653,0.98835,1.03376,0.99128,1,0.995,0.8955,0.51146,1.70844,0.84279,0.000139606,0.000139606,0.000139606
29,182.834,0.4802,0.90652,0.98741,0.99128,1,0.995,0.88243,0.49832,1.47392,0.85908,0.000138617,0.000138617,0.000138617
30,188.824,0.53013,0.86258,0.98253,0.99128,1,0.995,0.88243,0.49832,1.47392,0.85908,0.000137189,0.000137189,0.000137189
31,194.839,0.4121,0.84825,0.91935,0.99135,1,0.995,0.89578,0.4944,1.62218,0.85965,0.00013532,0.00013532,0.00013532
32,200.822,0.5886,0.91548,1.0799,0.99135,1,0.995,0.89578,0.4944,1.62218,0.85965,0.000133011,0.000133011,0.000133011
33,206.828,0.55703,0.87903,1.05615,0.99135,1,0.995,0.90058,0.48963,1.68147,0.84334,0.000130263,0.000130263,0.000130263
34,212.903,0.5589,0.84526,1.00101,0.99135,1,0.995,0.90058,0.48963,1.68147,0.84334,0.000127074,0.000127074,0.000127074
35,218.945,0.56805,0.82916,0.96266,0.99137,1,0.995,0.92212,0.50194,1.56552,0.83674,0.000123445,0.000123445,0.000123445
36,225.063,0.49014,0.83417,0.97352,0.99137,1,0.995,0.92212,0.50194,1.56552,0.83674,0.000119377,0.000119377,0.000119377
37,231.124,0.49696,0.86875,0.9336,0.99142,1,0.995,0.92859,0.50898,1.31374,0.84643,0.000114869,0.000114869,0.000114869
38,237.234,0.73482,0.97548,1.16579,0.99142,1,0.995,0.92859,0.50898,1.31374,0.84643,0.00010992,0.00010992,0.00010992
39,243.416,0.49165,0.89096,0.9881,0.99144,1,0.995,0.8783,0.53214,1.18851,0.8602,0.000104532,0.000104532,0.000104532
40,249.612,0.439,0.81394,0.96895,0.99144,1,0.995,0.8783,0.53214,1.18851,0.8602,9.87035e-05,9.87035e-05,9.87035e-05
41,255.635,0.33463,1.12754,0.84973,0.99148,1,0.995,0.88063,0.56777,1.04835,0.87638,9.24352e-05,9.24352e-05,9.24352e-05
42,261.634,0.37341,1.13033,0.88541,0.99148,1,0.995,0.88063,0.56777,1.04835,0.87638,8.5727e-05,8.5727e-05,8.5727e-05
43,267.643,0.33901,1.12185,0.89928,0.99138,1,0.995,0.88059,0.58943,1.01753,0.88152,7.85788e-05,7.85788e-05,7.85788e-05
44,273.535,0.36381,1.17195,0.90765,0.99138,1,0.995,0.88059,0.58943,1.01753,0.88152,7.09907e-05,7.09907e-05,7.09907e-05
45,279.899,0.38046,1.14238,0.85772,0.99131,1,0.995,0.88058,0.59335,0.99084,0.88037,6.29626e-05,6.29626e-05,6.29626e-05
46,286.04,0.28543,1.0799,0.88789,0.99131,1,0.995,0.88058,0.59335,0.99084,0.88037,5.44945e-05,5.44945e-05,5.44945e-05
47,292.127,0.34656,1.1007,0.88972,0.99129,1,0.995,0.8756,0.57984,0.95811,0.87201,4.55866e-05,4.55866e-05,4.55866e-05
48,298.274,0.35223,1.05432,0.78751,0.99129,1,0.995,0.8756,0.57984,0.95811,0.87201,3.62386e-05,3.62386e-05,3.62386e-05
