epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.2283,1.61799,4.80027,1.91033,0.00808,0.14286,0.06193,0.03016,1.4888,5.65515,1.98583,2.222e-05,2.222e-05,2.222e-05
2,36.8224,1.39248,4.22966,1.71652,0.62756,0.75017,0.68068,0.46507,0.96587,4.12773,1.41526,5.44501e-05,5.44501e-05,5.44501e-05
3,51.6207,1.10576,2.79917,1.44755,0.92006,0.92857,0.97944,0.82838,0.6608,4.39821,1.13007,8.53604e-05,8.53604e-05,8.53604e-05
4,67.0669,0.88105,2.05081,1.17287,0.98216,1,0.995,0.84978,0.67366,3.3984,1.05925,0.000114951,0.000114951,0.000114951
5,83.9459,0.9201,1.998,1.26445,0.91619,1,0.995,0.80384,0.79705,2.77484,1.06398,0.000143221,0.000143221,0.000143221
6,99.4345,0.75499,1.56509,1.08585,0.84266,1,0.96944,0.74904,0.92873,3.45536,1.14365,0.000170172,0.000170172,0.000170172
7,113.717,0.77336,1.50132,1.06181,0.97322,1,0.995,0.85456,0.72816,2.47682,1.00424,0.000195803,0.000195803,0.000195803
8,127.388,0.63963,1.32116,1.01457,0.98434,1,0.995,0.85858,0.63547,2.43218,0.95719,0.000220114,0.000220114,0.000220114
9,141.061,0.86516,1.55997,1.15943,0.99065,1,0.995,0.86553,0.60268,2.21273,0.94592,0.000243105,0.000243105,0.000243105
10,154.608,0.7723,1.07924,1.162,0.98823,1,0.995,0.87748,0.61275,2.25264,0.93738,0.000264776,0.000264776,0.000264776
11,168.06,0.66294,1.13384,1.0226,0.97012,0.99291,0.995,0.8412,0.69851,1.89376,0.99206,0.000285127,0.000285127,0.000285127
12,181.459,0.79048,1.24436,1.1014,0.98856,0.92857,0.974,0.81082,0.71223,1.73588,0.99071,0.000304158,0.000304158,0.000304158
13,194.939,0.84573,1.12412,1.20603,0.95694,0.973,0.995,0.82786,0.77452,1.69677,1.00901,0.00032187,0.00032187,0.00032187
14,208.383,0.71251,1.03495,1.01153,0.97256,0.95508,0.995,0.83041,0.7481,1.61216,0.98906,0.000338262,0.000338262,0.000338262
15,221.813,0.66031,0.97677,1.04817,0.98946,0.92857,0.97944,0.84868,0.63319,1.2491,0.95146,0.000353334,0.000353334,0.000353334
16,235.213,0.72611,0.97797,1.04574,0.99423,0.93285,0.995,0.80911,0.63182,1.19346,0.9453,0.000367086,0.000367086,0.000367086
17,248.645,0.68576,0.92207,1.05049,0.97913,1,0.995,0.87505,0.63288,1.16128,0.95845,0.000379518,0.000379518,0.000379518
18,262.053,0.83422,0.99217,1.12983,0.98573,1,0.995,0.86691,0.59794,1.0592,0.9544,0.00039063,0.00039063,0.00039063
19,275.412,0.69103,1.00142,0.97867,0.98875,1,0.995,0.88945,0.53933,0.94556,0.91858,0.000400422,0.000400422,0.000400422
20,288.972,0.76376,0.88874,1.04573,0.98663,1,0.995,0.86236,0.57748,0.9321,0.92816,0.000408895,0.000408895,0.000408895
21,302.43,0.65877,0.80055,1.03864,0.97805,1,0.995,0.85633,0.65717,0.99097,0.969,0.000416047,0.000416047,0.000416047
22,315.866,0.70217,0.75974,0.97576,0.97882,1,0.995,0.85997,0.70545,0.93566,0.99433,0.00042188,0.00042188,0.00042188
23,329.095,0.55603,0.72657,0.98302,0.95981,1,0.995,0.87347,0.62154,0.84433,0.93382,0.000426393,0.000426393,0.000426393
24,342.547,0.73806,0.86034,1.16348,0.9637,1,0.995,0.90157,0.52479,0.72178,0.90564,0.000429586,0.000429586,0.000429586
25,355.945,0.57717,0.71918,0.96709,0.98214,1,0.995,0.88925,0.55638,0.7637,0.92567,0.000431459,0.000431459,0.000431459
26,369.517,0.68989,0.71817,1.01616,0.98574,1,0.995,0.86841,0.56036,0.72367,0.94007,0.000432012,0.000432012,0.000432012
27,382.834,0.59968,0.62673,0.97333,0.99004,1,0.995,0.86554,0.53042,0.63053,0.94745,0.000431246,0.000431246,0.000431246
28,396.006,0.59625,0.66558,0.94194,0.9848,1,0.995,0.86326,0.53337,0.58601,0.97287,0.000429159,0.000429159,0.000429159
29,409.313,0.9141,0.80862,1.2163,0.9848,1,0.995,0.86326,0.53337,0.58601,0.97287,0.000425753,0.000425753,0.000425753
30,422.683,0.67568,0.63344,1.02307,0.98763,1,0.995,0.88892,0.53072,0.61824,0.924,0.000421027,0.000421027,0.000421027
31,436.019,0.62091,0.6116,0.97892,0.99114,1,0.995,0.86841,0.51539,0.61022,0.90164,0.000414981,0.000414981,0.000414981
32,449.205,0.67358,0.65107,1.01641,0.99008,1,0.995,0.87385,0.52418,0.55252,0.90534,0.000407615,0.000407615,0.000407615
33,462.286,0.63062,0.72089,1.03306,0.99008,1,0.995,0.87385,0.52418,0.55252,0.90534,0.000398929,0.000398929,0.000398929
34,475.403,0.6196,0.56026,0.96379,0.97729,1,0.995,0.87366,0.53594,0.59026,0.91539,0.000385073,0.000385073,0.000385073
35,488.689,0.70235,0.67,1.03261,0.96542,1,0.995,0.87091,0.51248,0.60562,0.90556,0.000363075,0.000363075,0.000363075
36,501.95,0.61278,0.68051,0.95586,0.98428,1,0.995,0.88729,0.53721,0.54081,0.91526,0.000341077,0.000341077,0.000341077
37,515.235,0.6295,0.59974,1.03873,0.98428,1,0.995,0.88729,0.53721,0.54081,0.91526,0.000319079,0.000319079,0.000319079
38,528.644,0.68248,0.5992,1.02839,0.98836,1,0.995,0.87114,0.58683,0.48074,0.93344,0.000297081,0.000297081,0.000297081
39,541.774,0.6168,0.55206,0.94874,0.99161,1,0.995,0.86963,0.57947,0.49261,0.91779,0.000275084,0.000275084,0.000275084
40,555.118,0.5301,0.51591,0.92807,0.98789,1,0.995,0.86963,0.58186,0.47681,0.91338,0.000253086,0.000253086,0.000253086
41,568.154,0.45453,0.53277,0.90406,0.98789,1,0.995,0.86963,0.58186,0.47681,0.91338,0.000231088,0.000231088,0.000231088
42,581.144,0.48498,0.53557,0.89816,0.98129,1,0.995,0.87882,0.56344,0.47951,0.91886,0.00020909,0.00020909,0.00020909
43,594.334,0.44243,0.52151,0.86754,0.97512,1,0.995,0.88132,0.56606,0.52009,0.92733,0.000187092,0.000187092,0.000187092
44,607.413,0.39836,0.51638,0.85124,0.9698,1,0.995,0.88131,0.55385,0.53208,0.9241,0.000165095,0.000165095,0.000165095
45,620.478,0.42597,0.55244,0.87444,0.9698,1,0.995,0.88131,0.55385,0.53208,0.9241,0.000143097,0.000143097,0.000143097
46,633.655,0.34833,0.48408,0.84605,0.97319,1,0.995,0.86379,0.55827,0.52309,0.92366,0.000121099,0.000121099,0.000121099
47,646.715,0.46689,0.48674,0.86476,0.97632,1,0.995,0.87584,0.5638,0.48427,0.92059,9.91012e-05,9.91012e-05,9.91012e-05
48,659.911,0.43455,0.46346,0.86348,0.97731,1,0.995,0.87469,0.55979,0.4489,0.91491,7.71034e-05,7.71034e-05,7.71034e-05
49,672.939,0.40046,0.4642,0.8226,0.97731,1,0.995,0.87469,0.55979,0.4489,0.91491,5.51056e-05,5.51056e-05,5.51056e-05
50,685.935,0.44428,0.44541,0.85723,0.97881,1,0.995,0.87173,0.55556,0.43843,0.91302,3.31078e-05,3.31078e-05,3.31078e-05
